VideoID,Peak Detection,FFT,Preferred,Notes
2700,130.6951817,131.5146484,Peak Detection,Remove the first 30 frames due to data corruption
2701,145.8450947,128.9736328,Peak Detection,Remove the first 30 frames due to data corruption
2702,173.0048049,130.1220703,Peak Detection,Remove the first 30 frames due to data corruption
2703,152.8007251,135.3515625,Peak Detection,Remove the first 30 frames due to data corruption
2800,137.3495792,138.3837891,Peak Detection,Remove the first 30 frames due to data corruption
2801,146.7555843,134.5283203,Peak Detection,Remove the first 30 frames due to data corruption
2802,158.6156778,139.78125,Peak Detection,Remove the first 30 frames due to data corruption
2803,152.8007251,135.3515625,Peak Detection,Remove the first 30 frames due to data corruption
2900,232.9288782,94.28125,BOTH,Remove the first 30 frames due to data corruption
2901,156.9801257,108.2548828,BOTH,Remove the first 30 frames due to data corruption
2902,155.2350035,109.3242188,BOTH,Remove the first 30 frames due to data corruption
2903,157.1155937,124.4663086,Peak Detection,Remove the first 30 frames due to data corruption
3000,115.8148739,122.2871094,Peak Detection,Remove the first 30 frames due to data corruption
3001,121.1151003,124.3476562,Peak Detection,Remove the first 30 frames due to data corruption
3002,122.0053688,130.953125,Peak Detection,Remove the first 30 frames due to data corruption
3003,127.8046875,123.2706096,BOTH,Remove the first 30 frames due to data corruption
3100,120.7874811,103.2050781,Peak Detection,Remove the first 30 frames due to data corruption
3101,143.9471813,106.2324219,BOTH,Remove the first 30 frames due to data corruption
3102,114.7924818,103.7226562,Peak Detection,Remove the first 30 frames due to data corruption
3103,138.4900322,105.1523438,Peak Detection,Remove the first 30 frames due to data corruption
3200,121.7264218,121.75,BOTH,Remove the first 30 frames due to data corruption
3201,126.3317735,129.359375,BOTH,Remove the first 30 frames due to data corruption
3202,124.778292,125.9375,Peak Detection,Remove the first 30 frames due to data corruption
3203,130.6342095,122.1855469,Peak Detection,Remove the first 30 frames due to data corruption
3300,75.86947368,75.14257813,Peak Detection,Remove the first 30 frames due to data corruption
3301,78.78928276,80.40625,Peak Detection,Remove the first 30 frames due to data corruption
3302,79.18912237,78.15234375,Peak Detection,Remove the first 30 frames due to data corruption
3303,76.02526316,76.25,Peak Detection,Remove the first 30 frames due to data corruption
3400,116.117701,115.8007813,Peak Detection,Remove the first 30 frames due to data corruption
3401,136.5046729,126.4570313,Peak Detection,Remove the first 30 frames due to data corruption
3402,128.5658663,127.5878906,BOTH,Remove the first 30 frames due to data corruption
3403,146.5827918,135.7597656,Peak Detection,Remove the first 30 frames due to data corruption
3500,87.32891832,86.92382813,BOTH,Remove the first 30 frames due to data corruption
3501,86.28365542,85.17578125,BOTH,Remove the first 30 frames due to data corruption
3502,90.23632813,91.38813084,BOTH,Remove the first 30 frames due to data corruption
3503,77.1714267,84.5625,BOTH,Remove the first 30 frames due to data corruption
3600,91.66015625,92.46246832,BOTH,Remove the first 30 frames due to data corruption
3601,96.72070313,97.74911522,Peak Detection,Remove the first 30 frames due to data corruption
3602,90.89361702,93.59765625,Peak Detection,Remove the first 30 frames due to data corruption
3603,94.67073092,97.71679688,Peak Detection,Remove the first 30 frames due to data corruption
3700,123.7832359,127.6171875,Peak Detection,Remove the first 30 frames due to data corruption
3701,132.9900471,75.703125,Peak Detection,Remove the first 30 frames due to data corruption
3702,132.173913,149.5136719,Peak Detection,Remove the first 30 frames due to data corruption
3703,132.2780075,136.265625,Peak Detection,Remove the first 30 frames due to data corruption
3800,126.9585062,128.1943359,Peak Detection,Remove the first 30 frames due to data corruption
3801,122.9603047,126.84375,Peak Detection,Remove the first 30 frames due to data corruption
3802,126.2905482,124.0546875,BOTH,Remove the first 30 frames due to data corruption
3803,130.1035401,131.8007813,Peak Detection,Remove the first 30 frames due to data corruption
3900,124.7577002,117.7148437,Peak Detection,Remove the first 30 frames due to data corruption
3901,130.0334551,131.5146484,Peak Detection,Remove the first 30 frames due to data corruption
3902,132.3067068,128.0039063,Peak Detection,Remove the first 30 frames due to data corruption
3903,136.4595627,120.0546875,Peak Detection,Remove the first 30 frames due to data corruption
4000,128.4980745,128.0576172,BOTH,Remove the first 30 frames due to data corruption
4001,122.7461774,121.4472666,BOTH,Remove the first 30 frames due to data corruption
4002,123.630929,124.96875,BOTH,Remove the first 30 frames due to data corruption
4003,128.2956689,127.8046875,BOTH,Remove the first 30 frames due to data corruption
